ID;COII_GenBank_Accession_Number;sex;pop;year;longitude;latitude
A71;OR724095;F;SP04;2017;15.034707;36.978432
B01;-;NA;Scopello;2017;12.813687;38.06703
B07;-;F;Scopello;2017;12.813687;38.06703
B11;OR724104;NA;Scopello;2017;12.813687;38.06703
B12;OR724105;F;Scopello;2017;12.813687;38.06703
B16;-;F;Scopello;2017;12.813687;38.06703
B95;OR724125;NA;Scopello;2018;12.813687;38.06703
B96;OR724126;F;Scopello;2018;12.813687;38.06703
B99;OR724127;F;Scopello;2018;12.813687;38.06703
C01;OR724128;F;Scopello;2018;12.813687;38.06703
C02;OR724129;F;Scopello;2018;12.813687;38.06703
C03;OR724130;F;Scopello;2018;12.813687;38.06703
C05;OR724131;NA;Marettimo;2018;12.078274;37.958318
C06;OR724132;NA;Marettimo;2018;12.078274;37.958318
C07;OR724133;NA;Marettimo;2018;12.078274;37.958318
C08;OR724134;NA;Marettimo;2018;12.078274;37.958318
C09;OR724135;NA;Marettimo;2018;12.078274;37.958318
C10;OR724136;NA;Marettimo;2018;12.078274;37.958318
C24;OR724137;F;Scopello;2018;12.813687;38.06703
C26;OR724138;F;Scopello;2018;12.813687;38.06703
C27;OR724139;M;Scopello;2018;12.813687;38.06703
C28;OR724140;F;Scopello;2018;12.813687;38.06703
C29;OR724141;M;Scopello;2018;12.813687;38.06703
C30;OR724142;M;Scopello;2018;12.813687;38.06703
C31;OR724143;NA;Scopello;2018;12.813687;38.06703
C32;OR724144;F;Scopello;2018;12.813687;38.06703
C33;OR724145;F;Scopello;2018;12.813687;38.06703
C34;OR724146;F;Scopello;2018;12.813687;38.06703
C35;OR724147;F;Scopello;2018;12.813687;38.06703
C36;OR724148;F;Scopello;2018;12.813687;38.06703
C37;OR724149;F;Scopello;2018;12.813687;38.06703
C38;OR724150;F;Scopello;2018;12.813687;38.06703
C40;OR724152;NA;Scopello;2018;12.813687;38.06703
C41;OR724153;NA;Scopello;2018;12.813687;38.06703
C42;OR724154;F;Scopello;2018;12.813687;38.06703
C43;OR724155;NA;Scopello;2018;12.813687;38.06703
C44;OR724156;NA;Scopello;2018;12.813687;38.06703
C45;OR724157;F;Scopello;2018;12.813687;38.06703
C47;OR724159;F;Scopello;2018;12.813687;38.06703
C48;OR724160;F;Scopello;2018;12.813687;38.06703
C49;OR724161;F;Scopello;2018;12.813687;38.06703
C50;OR724162;F;Scopello;2018;12.813687;38.06703
C51;OR724163;F;Scopello;2018;12.813687;38.06703
C52;OR724164;M;Scopello;2018;12.813687;38.06703
C53;OR724165;F;Scopello;2018;12.813687;38.06703
C54;OR724166;NA;SP04;2018;15.034707;36.978432
