ID;sex;pop;year
A71;F;SP04;2017
A72;F;Scopello1;2017
A93;F;Grosseto;2017
A94;F;Grosseto;2017
A95;F;Grosseto;2017
B01;NA;Scopello1;2017
B07;F;Scopello1;2017
B11;NA;Scopello1;2017
B12;F;Scopello1;2017
B16;F;Scopello1;2017
B83;M;LaCiotat;2018
B85;M;LaCiotat;2018
B86;M;LaCiotat;2018
B87;M;LaCiotat;2018
B88;M;LaCiotat;2018
B90;M;LaCiotat;2018
B91;M;LaCiotat;2018
B92;F;LaCiotat;2018
B93;NA;LaCiotat;2018
B94;M;LaCiotat;2018
B95;NA;TorreBennistra;2018
B96;F;TorreBennistra;2018
B99;F;TorreBennistra;2018
C01;F;TorreBennistra;2018
C02;F;TorreBennistra;2018
C03;F;TorreBennistra;2018
C05;NA;Marettimo;2018
C06;NA;Marettimo;2018
C07;NA;Marettimo;2018
C08;NA;Marettimo;2018
C09;NA;Marettimo;2018
C10;NA;Marettimo;2018
C24;F;TorreBennistra;2018
C26;F;TorreBennistra;2018
C27;M;TorreBennistra;2018
C28;F;TorreBennistra;2018
C29;M;TorreBennistra;2018
C30;M;TorreBennistra;2018
C31;NA;TorreBennistra;2018
C32;F;TorreBennistra;2018
C33;F;TorreBennistra;2018
C34;F;TorreBennistra;2018
C35;F;TorreBennistra;2018
C36;F;TorreBennistra;2018
C37;F;TorreBennistra;2018
C38;F;TorreBennistra;2018
C40;NA;TorreBennistra;2018
C41;NA;TorreBennistra;2018
C42;F;TorreBennistra;2018
C43;NA;TorreBennistra;2018
C44;NA;TorreBennistra;2018
C45;F;TorreBennistra;2018
C46;F;TorreBennistra;2018
C47;F;TorreBennistra;2018
C48;F;TorreBennistra;2018
C49;F;TorreBennistra;2018
C50;F;TorreBennistra;2018
C51;F;TorreBennistra;2018
C52;M;TorreBennistra;2018
C53;F;TorreBennistra;2018
C54;NA;SP04;2018
C55;F;SP04;2018
C56;F;SP04;2018
C57;F;SP04;2018
C58;F;SP04;2018
C59;F;SP04;2018
C60;F;SP04;2018
C61;F;SP04;2018
C62;F;SP04;2018
C63;F;SP04;2018
C64;F;SP04;2018
C65;F;SP04;2018
C66;F;SP287;2018
C67;F;SP287;2018
C68;F;SP287;2018
C69;F;SP287;2018
C70;F;SP287;2018
C71;F;SP287;2018
C72;F;SP287;2018
C73;F;SP287;2018
C74;F;SP287;2018
C75;F;SP287;2018
C76;F;SP287;2018
C77;F;SP287;2018
C78;F;SP287;2018
C79;F;SP287;2018
C80;F;SP287;2018
C81;F;SP287;2018
C82;F;MP;2018
C83;F;MP;2018
C84;F;MP;2018
C85;F;MP;2018
C86;F;MP;2018
C87;M;MP;2018
C88;NA;MP;2018
C89;F;MP;2018
C90;F;MP;2018
C91;NA;MP;2018
C92;M;MP;2018
C93;F;SP04;2018
C95;F;Cassibile;2018
C96;F;Cassibile;2018
C98;F;Cassibile;2018
C99;NA;Cassibile;2018
D01;F;Cassibile;2018
D02;F;Cassibile;2018
D03;F;Cassibile;2018
D04;M;Cassibile;2018
D05;M;Cassibile;2018
D06;F;Cassibile;2018
D07;F;Cassibile;2018
D08;NA;Cassibile;2018
D09;F;Cassibile;2018
D10;F;Cassibile;2018
D11;M;Cassibile;2018
D12;NA;Cassibile;2018
D13;F;Cassibile;2018
D14;F;Cassibile;2018
D15;F;Cassibile;2018
D16;M;Cassibile;2018
D17;M;Cassibile;2018
D18;M;Cassibile;2018
D20;F;Cassibile;2018
D21;F;Cassibile;2018
D22;M;Cassibile;2018
D23;M;Cassibile;2018
D24;F;Cassibile;2018
D25;F;Cassibile;2018
D26;F;Cassibile;2018
D27;M;Cassibile;2018
D28;M;Cassibile;2018
D29;F;Cassibile;2018
D30;NA;Cassibile;2018
D31;NA;Cassibile;2018
D32;F;SP04;2018
D33;F;SP04;2018
D34;F;SP04;2018
D35;F;SP04;2018
D36;F;SP04;2018
D37;F;SP04;2018
D38;F;SP04;2018
D39;F;SP04;2018
D40;F;SP04;2018
D41;F;SP04;2018
D44;NA;Figuerolle;2018
D45;NA;Figuerolle;2018
D46;NA;Figuerolle;2018
D47;NA;Figuerolle;2018
